date,close_price
2019-08-09,33.56
2019-08-12,34.18
2019-08-13,33.75
2019-08-14,33.94
2019-08-15,33.94
2019-08-16,34.81
2019-08-19,35.49
2019-08-20,35.59
2019-08-21,36.6
2019-08-22,36.36
2019-08-23,36.31
2019-08-26,36.6
2019-08-27,36.26
2019-08-28,36.36
2019-08-29,36.65
2019-08-30,37.47
2019-09-03,37.42
2019-09-04,37.33
2019-09-05,37.23
2019-09-06,36.75
2019-09-09,36.84
2019-09-10,37.04
2019-09-11,36.94
2019-09-12,37.38
2019-09-13,38.54
2019-09-16,38.68
2019-09-17,39.65
2019-09-18,39.79
2019-09-19,39.46
2019-09-20,38.68
2019-09-23,38.34
2019-09-24,38.15
2019-09-25,38.58
2019-09-26,38.83
2019-09-27,38.92
2019-09-30,38.1
2019-10-01,38.68
2019-10-02,38.87
2019-10-03,39.89
2019-10-04,39.17
2019-10-07,39.07
2019-10-08,39.75
2019-10-09,39.89
2019-10-10,39.65
2019-10-11,39.46
2019-10-14,39.79
2019-10-15,40.04
2019-10-16,39.79
2019-10-17,39.46
2019-10-18,38.78
2019-10-21,38
2019-10-22,38.68
2019-10-23,38.78
2019-10-24,38.97
2019-10-25,38.87
2019-10-28,39.26
2019-10-29,39.26
2019-10-30,38.87
2019-10-31,39.26
2019-11-01,39.65
2019-11-04,40.81
2019-11-05,41.1
2019-11-06,40.81
2019-11-07,40.91
2019-11-08,40.61
2019-11-11,40.61
2019-11-12,41.4
2019-11-13,42.19
2019-11-14,41.79
2019-11-15,41.3
2019-11-18,40.61
2019-11-19,40.96
2019-11-20,40.86
2019-11-21,40.52
2019-11-22,39.53
2019-11-25,39.04
2019-11-26,39.34
2019-11-27,40.12
2019-11-28,39.97
2019-11-29,39.83
2019-12-02,38.75
2019-12-03,39.04
2019-12-04,39.68
2019-12-05,39.34
2019-12-06,38.99
2019-12-09,39.34
2019-12-10,39.24
2019-12-11,39.43
2019-12-12,40.32
2019-12-13,41.2
2019-12-16,41.2
2019-12-17,40.76
2019-12-18,41.3
2019-12-19,41.5
2019-12-20,42.04
2019-12-23,44.01
2019-12-24,44.15
2019-12-25,44.45
2019-12-26,43.47
2019-12-27,45.43
2019-12-30,45.33
2019-12-31,45.38
2020-01-02,46.12
2020-01-03,45.92
2020-01-06,45.04
2020-01-07,45.92
2020-01-08,46.32
2020-01-09,48.82
2020-01-10,50.45
2020-01-13,49.27
2020-01-14,49.27
2020-01-15,50.15
2020-01-16,53.1
2020-01-17,52.61
2020-01-20,52.41
2020-01-21,53.1
2020-01-22,54.58
2020-01-30,51.82
2020-01-31,50.64
2020-02-03,52.61
2020-02-04,53.5
2020-02-05,52.61
2020-02-06,52.32
2020-02-07,50.84
2020-02-10,48.28
2020-02-11,49.96
2020-02-12,49.96
2020-02-13,49.56
2020-02-14,49.17
2020-02-17,50.64
2020-02-18,51.14
2020-02-19,50.45
2020-02-20,50.45
2020-02-21,48.68
2020-02-24,45.53
2020-02-25,47.99
2020-02-26,46.22
2020-02-27,46.32
2020-02-28,44.74
2020-03-02,44.4
2020-03-03,46.12
2020-03-04,45.38
2020-03-05,45.87
2020-03-06,46.07
2020-03-09,42.88
2020-03-10,41.7
2020-03-11,38.79
2020-03-12,36.09
2020-03-13,34.42
2020-03-16,32.25
2020-03-17,33.24
2020-03-18,33.98
2020-03-19,32.84
2020-03-20,32.55
2020-03-23,30.29
2020-03-24,31.07
2020-03-25,32.65
2020-03-26,32.75
2020-03-27,32.45
2020-03-30,30.39
2020-03-31,30.34
2020-04-01,31.57
2020-04-03,33.73
2020-04-06,36.09
2020-04-07,36.39
2020-04-08,37.32
2020-04-09,37.07
2020-04-10,36.29
2020-04-13,36.53
2020-04-14,35.89
2020-04-15,36.68
2020-04-16,36.68
2020-04-17,36.78
2020-04-20,36.48
2020-04-21,34.12
2020-04-22,35.6
2020-04-23,35.6
2020-04-24,35.4
2020-04-27,34.52
2020-04-28,34.57
2020-04-29,35.01
2020-05-04,34.71
2020-05-05,34.71
2020-05-06,35.4
2020-05-07,36.93
2020-05-08,37.37
2020-05-11,37.86
2020-05-12,37.91
2020-05-13,38.94
2020-05-14,39.04
2020-05-15,37.96
2020-05-18,38.25
2020-05-19,38.45
2020-05-20,38.5
2020-05-21,39.04
2020-05-22,38.65
2020-05-25,38.99
2020-05-26,41.3
2020-05-27,39.14
2020-05-28,40.02
2020-05-29,39.43
2020-06-01,40.76
2020-06-02,39.88
2020-06-03,40.32
2020-06-04,41.11
2020-06-05,41.4
2020-06-08,43.27
